stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,respectful,mismatch,incongruent,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Was hardworking and organized a group to renovate some run-down houses,hardworking,explicit,congruent,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,0,2,2,30,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,honest,mismatch,congruent,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,0,8,8,35,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,0,10,10,24,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,dishonest,implicit,congruent,,0,11,11,22,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,0,13,13,12,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Was selfless and volunteered at children's hospital,selfless,explicit,incongruent,,0,14,14,27,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,0,17,17,20,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,0,18,18,26,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,0,19,19,32,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,0,20,20,29,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,0,21,21,2,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,0,22,22,6,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,0,24,24,19,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Was caring and helped a man in a wheelchair cross a busy intersection,caring,explicit,incongruent,,0,25,25,28,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,0,26,26,3,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,0,27,27,16,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,28,28,33,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,0,29,29,17,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,vain,implicit,congruent,,0,30,30,21,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,0,31,31,1,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,0,32,32,31,,,,,,,,,,,,,,,,,,,,,4,57,2019_Oct_16_1234,trustSTIs,3.0.0b12,59.88902565
