stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,0,11,11,20,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Was selfless and volunteered at children's hospital,selfless,explicit,incongruent,,0,12,12,27,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,0,13,13,3,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,vain,implicit,congruent,,0,14,14,21,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,0,15,15,17,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,insensitive,mismatch,incongruent,,0,16,16,34,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,dishonest,implicit,congruent,,0,17,17,22,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,0,18,18,30,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,0,20,20,2,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,0,21,21,19,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M004C,faces/M004C.jpg,6.470262,Trustworthy,Was greedy and stole money and jewelry from the relatives he was living with,greedy,explicit,incongruent,,0,22,22,0,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,0,23,23,6,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Was caring and helped a man in a wheelchair cross a busy intersection,caring,explicit,incongruent,,0,24,24,28,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,0,25,25,11,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,0,26,26,24,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,0,27,27,12,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,0,28,28,32,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,0,29,29,31,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,0,30,30,8,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,0,31,31,14,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,0,32,32,23,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,0,33,33,18,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,0,34,34,26,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,169 ÷ 13 = ?,,,,,0,0,0,8,,,,,['space'],[4.675765499996487],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,6 * 9 = ?,,,,,0,1,1,2,,,,,['space'],[4.892396600000211],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,(5 + 7) ÷ 4 = ?,,,,,0,2,2,1,,,,,['space'],[3.5904164999956265],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,(5 x 4) - 12 = ?,,,,,0,3,3,9,,,,,['space'],[2.1707501000055345],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,√49 x 7 = ?,,,,,0,4,4,6,,,,,['space'],[3.172772799996892],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,√100 = ?,,,,,0,5,5,3,,,,,['space'],[3.1061865000083344],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,54 ÷ 9 = ?,,,,,0,6,6,4,,,,,['space'],[1.7532761999900686],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,3² = ?,,,,,0,7,7,0,,,,,['space'],[1.7868822000018554],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,7³ = ?,,,,,0,8,8,7,,,,,['space'],[8.282383600002504],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,(24 ÷ 3) x 5 = ?,,,,,0,9,9,5,,,,,['space'],[2.905376900002011],,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,,,,,,,,,0,0,0,16,,,right,4.4751725,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,,,,,,,,,0,1,1,31,,,left,2.3379097,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,,,,,,,,,0,2,2,4,,,left,4.3583025,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,,,,,,,,,0,3,3,32,,,left,1.8202573,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,,,,,,,,,0,4,4,30,,,right,1.1189937,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,insensitive,mismatch,incongruent,,,,,,,,,,0,5,5,34,,,left,1.7367683,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,,,,,,,,,0,6,6,9,,,right,1.1857726,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Was selfless and volunteered at children's hospital,selfless,explicit,incongruent,,,,,,,,,,0,7,7,27,,,left,1.5030186,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,,,,,,,,,0,8,8,13,,,right,1.536409,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M004C,faces/M004C.jpg,6.470262,Trustworthy,Was greedy and stole money and jewelry from the relatives he was living with,greedy,explicit,incongruent,,,,,,,,,,0,9,9,0,,,left,3.2562547,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,honest,mismatch,congruent,,,,,,,,,,0,10,10,25,,,right,1.3861286,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,,,,,,,,,0,11,11,2,,,right,2.9223215,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,,,,,,,,,0,12,12,6,,,left,2.5215542,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,,,,,,,,,0,13,13,20,,,left,2.0039544,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,vain,implicit,congruent,,,,,,,,,,0,14,14,21,,,left,1.2191587,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,,,,,,,,,0,15,15,14,,,left,2.3211739,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,,,,,,,,,0,16,16,18,,,right,1.3193369,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Was hardworking and organized a group to renovate some run-down houses,hardworking,explicit,congruent,,,,,,,,,,0,17,17,10,,,right,1.2525584,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,,,,,,,,,0,18,18,24,,,right,2.4881424,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,,,,,,,,,0,19,19,12,,,left,1.5529091,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,respectful,mismatch,incongruent,,,,,,,,,,0,20,20,7,,,right,0.9520103,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Was caring and helped a man in a wheelchair cross a busy intersection,caring,explicit,incongruent,,,,,,,,,,0,21,21,28,,,right,2.4881602,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,,,,,,,,,0,22,22,26,,,right,1.4696162,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,,,,,,,,,0,23,23,1,,,right,1.4028453,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,,,,,,,,,0,24,24,8,,,left,1.3692605,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,,,,,,,,,0,25,25,11,,,right,2.588359,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,,,,,,,,,0,26,26,19,,,left,1.0688665,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,,,,,,,,,0,27,27,17,,,left,1.1857613,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,,,,,,,,,0,28,28,29,,,left,1.8369533,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,dishonest,implicit,congruent,,,,,,,,,,0,29,29,22,,,left,1.8870634,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,,,,,,,,,0,30,30,3,,,right,1.4362183,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,,,,,,,,,0,31,31,33,,,right,1.5864881,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,,,,,,,,,0,32,32,5,,,left,0.9352916,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,,,,,,,,,0,33,33,35,,,left,3.6737217,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,,,,,,,,,0,34,34,23,,,left,1.6199116,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,,,,,,,,,0,35,35,15,,,right,0.9519981,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,,,,,,,,,,,,,,,,,,21,5.995,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,,,,,,,,,,,,,,,,,,,,left,2.571672,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,2.2376901,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,6.5956053,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
