stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Preferred not to speak up during a class discussion,productive,mismatch,congruent,,0,0,0,32,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Was courageous and stood up for their beliefs even when it was unpopular,courageous,explicit,incongruent,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M090C,faces/M090C.jpg,4.571572515,Dominant,Was foolish and believed they could build a flying car,foolish,explicit,incongruent,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Could not handle criticism without crying,oversensitive,implicit,congruent,,0,3,3,27,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M054C,faces/M054C.jpg,5.90524195,Dominant,Decided not to complete an assignment,lazy,implicit,incongruent,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Pedaled harder to ensure they won the race,unsociable,mismatch,incongruent,,0,5,5,22,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Attended a rally to oppose a bigoted politician,purposeful,implicit,incongruent,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Gave a speech in support of a controversial topic,passive,mismatch,incongruent,,0,7,7,21,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M072C,faces/M072C.jpg,5.269657165,Dominant,Declined to attend a friend's holiday party,determined,mismatch,incongruent,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M050C,faces/M050C.jpg,4.80090731,Dominant,Was talented and scored seven touchdowns in a single game,talented,explicit,congruent,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Proclaimed himself their group's leader,dominant,implicit,incongruent,,0,10,10,19,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Often "checked in" on their children's mental health,worrying,implicit,congruent,,0,11,11,28,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was confident and was sure of all of their answers on the exam,confident,explicit,congruent,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M074C,faces/M074C.jpg,4.90020156,Dominant,Dressed in the same style as all of their friends,proud,mismatch,incongruent,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Was unconvincing and could not win an argument with a coworker,unconvincing,explicit,congruent,,0,14,14,33,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M002C,faces/M002C.jpg,5.85635085,Dominant,Went skydiving without hesitation,fearless,implicit,congruent,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M067C,faces/M067C.jpg,4.70614921,Dominant,Forgot their spouse's birthday,absent-minded,implicit,incongruent,,0,16,16,11,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Could not lift a 50lb bag of cement,independent,mismatch,congruent,,0,17,17,31,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M069C,faces/M069C.jpg,4.9460686,Dominant,Decided to avoid an argument out of a fear of losing,bold,mismatch,incongruent,,0,18,18,12,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Was competent and spoke five languages and could read three more,competent,explicit,incongruent,,0,19,19,26,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,weak,mismatch,congruent,,0,20,20,4,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Could not finish a simple work project in in time,assertive,mismatch,congruent,,0,21,21,30,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M027C,faces/M027C.jpg,5.03477819,Dominant,Completed four work projects in a single week,quiet,mismatch,congruent,,0,22,22,5,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M088C,faces/M088C.jpg,4.727318497,Dominant,Was gullible and sent money to a Nigerian scammer,gullible,explicit,incongruent,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Was persuasive and won a debate in record time,persuasive,explicit,incongruent,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Was nervous and was afraid of being hit by a car when crossing a street,nervous,explicit,congruent,,0,25,25,34,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M030C,faces/M030C.jpg,4.779233991,Dominant,Was decisive and ordered food for everyone at the dinner table,decisive,explicit,congruent,,0,26,26,6,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M062C,faces/M062C.jpg,4.50907254,Dominant,Stood and listened to their boss berate them,submissive,implicit,incongruent,,0,27,27,10,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
M095C,faces/M095C.jpg,4.7610887,Dominant,Was soft-spoken and did not want to speak up about their own opinions,soft-spoken,explicit,incongruent,,0,28,28,17,,,,,,,,,,,,,,,,,,,,,3,075,2019_Nov_25_1557,trustSTIs,3.0.0b12,59.88124339459195,
